--------------
SHOW DATABASES
--------------

Database
information_schema
mmoriyaassign2db
mysql
performance_schema
--------------
SELECT description FROM product
--------------

description
Bike
Socks
Elbow pads
Puck
Knee Pads
Roller Blades
Helmet
--------------
SELECT DISTINCT(city) From agent
--------------

city
Boston
Ottawa
New York
Bedrock
Toronto
Springfield
--------------
SELECT * FROM agent ORDER BY city
--------------

agentID	firstname	lastname	city	commission
33	David	Letterman	Bedrock	0.1000000000
11	Regis	Philbin	Boston	0.3300000000
22	Courtney	Cox	New York	0.2500000000
12	Rosie	Cox	Ottawa	0.5000000000
66	Rosie	ODonnell	Ottawa	0.1000000000
99	Hugh	Grant	Springfield	0.1600000000
69	Mike	Moriyama	Toronto	0.6900000000
--------------
SELECT firstname, lastname FROM customers WHERE city='Springfield'
--------------

firstname	lastname
Monty	Burns
Homer	Simpson
Sideshow	Bob
--------------
SELECT lastname FROM customers WHERE (agentID = (SELECT agentID FROM agent WHERE firstname = 'Regis'))
--------------

lastname
Rubble
Flintstone
--------------
SELECT description FROM product WHERE description LIKE ("%pad%" AND "%Pad%")
--------------

--------------
SELECT customers.lastname, product.description, purchases.quantity FROM customers, product, purchases WHERE (purchases.quantity > 0)
--------------

lastname	description	quantity
Rubble	Bike	14
Burns	Bike	14
:Woman	Bike	14
Griffens	Bike	14
Flintstone	Bike	14
Simpson	Bike	14
Bob	Bike	14
Rubble	Socks	14
Burns	Socks	14
:Woman	Socks	14
Griffens	Socks	14
Flintstone	Socks	14
Simpson	Socks	14
Bob	Socks	14
Rubble	Elbow pads	14
Burns	Elbow pads	14
:Woman	Elbow pads	14
Griffens	Elbow pads	14
Flintstone	Elbow pads	14
Simpson	Elbow pads	14
Bob	Elbow pads	14
Rubble	Puck	14
Burns	Puck	14
:Woman	Puck	14
Griffens	Puck	14
Flintstone	Puck	14
Simpson	Puck	14
Bob	Puck	14
Rubble	Knee Pads	14
Burns	Knee Pads	14
:Woman	Knee Pads	14
Griffens	Knee Pads	14
Flintstone	Knee Pads	14
Simpson	Knee Pads	14
Bob	Knee Pads	14
Rubble	Roller Blades	14
Burns	Roller Blades	14
:Woman	Roller Blades	14
Griffens	Roller Blades	14
Flintstone	Roller Blades	14
Simpson	Roller Blades	14
Bob	Roller Blades	14
Rubble	Helmet	14
Burns	Helmet	14
:Woman	Helmet	14
Griffens	Helmet	14
Flintstone	Helmet	14
Simpson	Helmet	14
Bob	Helmet	14
Rubble	Bike	5
Burns	Bike	5
:Woman	Bike	5
Griffens	Bike	5
Flintstone	Bike	5
Simpson	Bike	5
Bob	Bike	5
Rubble	Socks	5
Burns	Socks	5
:Woman	Socks	5
Griffens	Socks	5
Flintstone	Socks	5
Simpson	Socks	5
Bob	Socks	5
Rubble	Elbow pads	5
Burns	Elbow pads	5
:Woman	Elbow pads	5
Griffens	Elbow pads	5
Flintstone	Elbow pads	5
Simpson	Elbow pads	5
Bob	Elbow pads	5
Rubble	Puck	5
Burns	Puck	5
:Woman	Puck	5
Griffens	Puck	5
Flintstone	Puck	5
Simpson	Puck	5
Bob	Puck	5
Rubble	Knee Pads	5
Burns	Knee Pads	5
:Woman	Knee Pads	5
Griffens	Knee Pads	5
Flintstone	Knee Pads	5
Simpson	Knee Pads	5
Bob	Knee Pads	5
Rubble	Roller Blades	5
Burns	Roller Blades	5
:Woman	Roller Blades	5
Griffens	Roller Blades	5
Flintstone	Roller Blades	5
Simpson	Roller Blades	5
Bob	Roller Blades	5
Rubble	Helmet	5
Burns	Helmet	5
:Woman	Helmet	5
Griffens	Helmet	5
Flintstone	Helmet	5
Simpson	Helmet	5
Bob	Helmet	5
Rubble	Bike	19
Burns	Bike	19
:Woman	Bike	19
Griffens	Bike	19
Flintstone	Bike	19
Simpson	Bike	19
Bob	Bike	19
Rubble	Socks	19
